billno;itemname;quantity;date;price;customerid;country
536527;SET OF 6 T-LIGHTS SANTA;6;01.12.2010 13:04;2,95;12662.0;Germany
536527;ROTATING SILVER ANGELS T-LIGHT HLDR;6;01.12.2010 13:04;2,55;12662.0;Germany
536527;MULTI COLOUR SILVER T-LIGHT HOLDER;12;01.12.2010 13:04;0,85;12662.0;Germany
536527;5 HOOK HANGER MAGIC TOADSTOOL;12;01.12.2010 13:04;1,65;12662.0;Germany
536527;3 HOOK HANGER MAGIC GARDEN;12;01.12.2010 13:04;1,95;12662.0;Germany
536527;5 HOOK HANGER RED MAGIC TOADSTOOL;12;01.12.2010 13:04;1,65;12662.0;Germany
536527;ASSORTED COLOUR LIZARD SUCTION HOOK;24;01.12.2010 13:04;0,42;12662.0;Germany
536527;JUMBO BAG WOODLAND ANIMALS;10;01.12.2010 13:04;1,95;12662.0;Germany
536527;JUMBO BAG OWLS;10;01.12.2010 13:04;1,95;12662.0;Germany
536527;HOT WATER BOTTLE BABUSHKA;4;01.12.2010 13:04;4,65;12662.0;Germany
536527;HOMEMADE JAM SCENTED CANDLES;12;01.12.2010 13:04;1,45;12662.0;Germany
536527;CHILDREN'S CIRCUS PARADE MUG;12;01.12.2010 13:04;1,65;12662.0;Germany
536527;PACK 3 FIRE ENGINE/CAR PATCHES;12;01.12.2010 13:04;1,25;12662.0;Germany
536527;PICTURE DOMINOES;12;01.12.2010 13:04;1,45;12662.0;Germany
536527;POSTAGE;1;01.12.2010 13:04;18;12662.0;Germany
536840;JAM MAKING SET PRINTED;12;02.12.2010 18:27;1,45;12738.0;Germany
536840;JAM JAR WITH PINK LID;12;02.12.2010 18:27;0,85;12738.0;Germany
536840;JAM JAR WITH GREEN LID;12;02.12.2010 18:27;0,85;12738.0;Germany
536840;SWEETHEART CAKESTAND 3 TIER;1;02.12.2010 18:27;9,95;12738.0;Germany
536840;60 CAKE CASES VINTAGE CHRISTMAS;24;02.12.2010 18:27;0,55;12738.0;Germany
536840;6 RIBBONS RUSTIC CHARM;12;02.12.2010 18:27;1,65;12738.0;Germany
536840;CAKE STAND WHITE TWO TIER LACE;2;02.12.2010 18:27;8,5;12738.0;Germany
536840;PACK OF 60 PINK PAISLEY CAKE CASES;24;02.12.2010 18:27;0,55;12738.0;Germany
536840;60 TEATIME FAIRY CAKE CASES;24;02.12.2010 18:27;0,55;12738.0;Germany
536840;PACK OF 72 RETROSPOT CAKE CASES;24;02.12.2010 18:27;0,55;12738.0;Germany
536840;POSTAGE;1;02.12.2010 18:27;18;12738.0;Germany
536861;FELTCRAFT 6 FLOWER FRIENDS;6;03.12.2010 10:44;2,1;12427.0;Germany
536861;6 RIBBONS RUSTIC CHARM;12;03.12.2010 10:44;1,65;12427.0;Germany
536861;WOODLAND  HEIGHT CHART STICKERS;6;03.12.2010 10:44;2,95;12427.0;Germany
536861;CHILDS BREAKFAST SET CIRCUS PARADE;8;03.12.2010 10:44;7,65;12427.0;Germany
536861;CHILDS BREAKFAST SET SPACEBOY;8;03.12.2010 10:44;8,5;12427.0;Germany
536861;COFFEE MUG CAT + BIRD DESIGN;6;03.12.2010 10:44;2,55;12427.0;Germany
536861;COFFEE MUG DOG + BALL DESIGN;6;03.12.2010 10:44;2,55;12427.0;Germany
536861;BALLOONS  WRITING SET;12;03.12.2010 10:44;1,65;12427.0;Germany
536861;DINOSAURS  WRITING SET;12;03.12.2010 10:44;1,65;12427.0;Germany
536861;POSTAGE;3;03.12.2010 10:44;18;12427.0;Germany
536967;POSTAGE;1;03.12.2010 12:57;18;12600.0;Germany
536967;JUMBO BAG RED RETROSPOT;30;03.12.2010 12:57;1,95;12600.0;Germany
536983;WOODLAND PARTY BAG + STICKER SET;8;03.12.2010 14:30;1,65;12712.0;Germany
536983;HAND WARMER OWL DESIGN;12;03.12.2010 14:30;2,1;12712.0;Germany
536983;3 HOOK PHOTO SHELF ANTIQUE WHITE;4;03.12.2010 14:30;8,5;12712.0;Germany
536983;IVORY GIANT GARDEN THERMOMETER;4;03.12.2010 14:30;5,95;12712.0;Germany
536983;BLUE COAT RACK PARIS FASHION;3;03.12.2010 14:30;4,95;12712.0;Germany
536983;HOT BATHS SOAP HOLDER;12;03.12.2010 14:30;1,69;12712.0;Germany
536983;PENCIL CASE LIFE IS BEAUTIFUL;6;03.12.2010 14:30;2,95;12712.0;Germany
536983;LARGE CHINESE STYLE SCISSOR;10;03.12.2010 14:30;0,85;12712.0;Germany
536983;POSTAGE;1;03.12.2010 14:30;18;12712.0;Germany
537197;BISCUIT TIN VINTAGE GREEN;2;05.12.2010 14:02;6,75;12647.0;Germany
537197;BISCUIT TIN VINTAGE RED;2;05.12.2010 14:02;6,75;12647.0;Germany
537197;JAM MAKING SET PRINTED;12;05.12.2010 14:02;1,45;12647.0;Germany
537197;JAM JAR WITH PINK LID;12;05.12.2010 14:02;0,85;12647.0;Germany
537197;JAM JAR WITH GREEN LID;12;05.12.2010 14:02;0,85;12647.0;Germany
537197;PINK 3 PIECE POLKADOT CUTLERY SET;6;05.12.2010 14:02;3,75;12647.0;Germany
537197;FRYING PAN RED RETROSPOT;4;05.12.2010 14:02;4,25;12647.0;Germany
537197;FRYING PAN PINK POLKADOT;4;05.12.2010 14:02;4,25;12647.0;Germany
537197;MEMO BOARD COTTAGE DESIGN;4;05.12.2010 14:02;4,95;12647.0;Germany
537197;MEMO BOARD RETROSPOT  DESIGN;4;05.12.2010 14:02;4,95;12647.0;Germany
537197;PINK HEART SHAPE EGG FRYING PAN;6;05.12.2010 14:02;1,65;12647.0;Germany
537197;FRENCH ENAMEL UTENSIL HOLDER;4;05.12.2010 14:02;3,75;12647.0;Germany
537197;SET OF 16 VINTAGE ROSE CUTLERY;1;05.12.2010 14:02;12,75;12647.0;Germany
537197;POSTAGE;3;05.12.2010 14:02;18;12647.0;Germany
537197;IVORY KITCHEN SCALES;2;05.12.2010 14:02;8,5;12647.0;Germany
537197;ROUND CAKE TIN VINTAGE GREEN;1;05.12.2010 14:02;0;12647.0;Germany
537197;BREAD BIN DINER STYLE IVORY;1;05.12.2010 14:02;16,95;12647.0;Germany
537198;DOORMAT RED RETROSPOT;10;05.12.2010 14:03;6,75;12647.0;Germany
537198;POSTAGE;1;05.12.2010 14:03;18;12647.0;Germany
537201;GUMBALL MAGAZINE RACK;2;05.12.2010 14:19;7,65;12472.0;Germany
537201;HAND WARMER OWL DESIGN;24;05.12.2010 14:19;2,1;12472.0;Germany
537201;JAM MAKING SET WITH JARS;12;05.12.2010 14:19;3,75;12472.0;Germany
537201;JAM MAKING SET PRINTED;12;05.12.2010 14:19;1,45;12472.0;Germany
537201;JAM JAR WITH PINK LID;24;05.12.2010 14:19;0,85;12472.0;Germany
537201;JAM JAR WITH GREEN LID;24;05.12.2010 14:19;0,85;12472.0;Germany
537201;3 PIECE SPACEBOY COOKIE CUTTER SET;18;05.12.2010 14:19;2,1;12472.0;Germany
537201;CHILDREN'S SPACEBOY MUG;12;05.12.2010 14:19;1,65;12472.0;Germany
537201;CHILDREN'S CIRCUS PARADE MUG;12;05.12.2010 14:19;1,65;12472.0;Germany
537201;SPACEBOY CHILDRENS EGG CUP;12;05.12.2010 14:19;1,25;12472.0;Germany
537201;CIRCUS PARADE CHILDRENS EGG CUP;12;05.12.2010 14:19;1,25;12472.0;Germany
537201;HAND WARMER BABUSHKA DESIGN;12;05.12.2010 14:19;2,1;12472.0;Germany
537201;FELTCRAFT CUSHION OWL;4;05.12.2010 14:19;3,75;12472.0;Germany
537201;SET OF 20 KIDS COOKIE CUTTERS;12;05.12.2010 14:19;2,1;12472.0;Germany
537201;FELTCRAFT CHRISTMAS FAIRY;8;05.12.2010 14:19;4,25;12472.0;Germany
537201;CHILDRENS APRON APPLES DESIGN;8;05.12.2010 14:19;1,95;12472.0;Germany
537201;HOT WATER BOTTLE BABUSHKA;4;05.12.2010 14:19;4,65;12472.0;Germany
537201;ROSE COTTAGE KEEPSAKE BOX;2;05.12.2010 14:19;9,95;12472.0;Germany
537201;CARD MOTORBIKE SANTA;12;05.12.2010 14:19;0,42;12472.0;Germany
537201;CARD CHRISTMAS VILLAGE;24;05.12.2010 14:19;0,42;12472.0;Germany
537201;RED  HARMONICA IN BOX;24;05.12.2010 14:19;1,25;12472.0;Germany
537201;BLUE HARMONICA IN BOX;24;05.12.2010 14:19;1,25;12472.0;Germany
537201;RETROSPOT PARTY BAG + STICKER SET;8;05.12.2010 14:19;1,65;12472.0;Germany
537201;DISCO BALL CHRISTMAS DECORATION;24;05.12.2010 14:19;0,12;12472.0;Germany
537201;GLITTER CHRISTMAS TREE;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;ANGEL DECORATION PAINTED ZINC;24;05.12.2010 14:19;0,65;12472.0;Germany
537201;ROCKING HORSE RED CHRISTMAS;24;05.12.2010 14:19;0,85;12472.0;Germany
537201;ROCKING HORSE GREEN CHRISTMAS;24;05.12.2010 14:19;0,85;12472.0;Germany
537201;WOODEN TREE CHRISTMAS SCANDINAVIAN;24;05.12.2010 14:19;0,85;12472.0;Germany
537201;CHRISTMAS RETROSPOT ANGEL WOOD;24;05.12.2010 14:19;0,85;12472.0;Germany
537201;SMALL PINK MAGIC CHRISTMAS TREE;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;SPACEBOY LUNCH BOX;36;05.12.2010 14:19;1,95;12472.0;Germany
537201;ROUND SNACK BOXES SET OF4 WOODLAND;24;05.12.2010 14:19;2,95;12472.0;Germany
537201;WOODLAND CHARLOTTE BAG;30;05.12.2010 14:19;0,85;12472.0;Germany
537201;PLASTERS IN TIN CIRCUS PARADE;12;05.12.2010 14:19;1,65;12472.0;Germany
537201;SET OF 2 TEA TOWELS APPLE AND PEARS;12;05.12.2010 14:19;2,95;12472.0;Germany
537201;RED RETROSPOT MINI CASES;4;05.12.2010 14:19;7,95;12472.0;Germany
537201;BIRD DECORATION RED RETROSPOT;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;RETROSPOT PADDED SEAT CUSHION;10;05.12.2010 14:19;3,75;12472.0;Germany
537201;6 RIBBONS RUSTIC CHARM;24;05.12.2010 14:19;1,65;12472.0;Germany
537201;SCANDINAVIAN REDS RIBBONS;12;05.12.2010 14:19;1,25;12472.0;Germany
537201;BRIGHT BLUES RIBBONS;12;05.12.2010 14:19;1,25;12472.0;Germany
537201;BABY BOOM RIBBONS;12;05.12.2010 14:19;1,25;12472.0;Germany
537201;CHOCOLATE BOX RIBBONS;12;05.12.2010 14:19;1,25;12472.0;Germany
537201;CHRISTMAS CRAFT TREE TOP ANGEL;12;05.12.2010 14:19;2,1;12472.0;Germany
537201;CHRISTMAS CRAFT LITTLE FRIENDS;12;05.12.2010 14:19;2,1;12472.0;Germany
537201;CHRISTMAS RETROSPOT HEART WOOD;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;CHRISTMAS RETROSPOT STAR WOOD;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;CHRISTMAS GINGHAM HEART;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;CHRISTMAS GINGHAM TREE;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;CHRISTMAS GINGHAM STAR;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;STAR WOODEN CHRISTMAS DECORATION;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;HEART WOODEN CHRISTMAS DECORATION;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;WOODEN HEART CHRISTMAS SCANDINAVIAN;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;WOODEN STAR CHRISTMAS SCANDINAVIAN;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;RED RETROSPOT CHARLOTTE BAG;20;05.12.2010 14:19;0,85;12472.0;Germany
537201;REGENCY CAKESTAND 3 TIER;4;05.12.2010 14:19;12,75;12472.0;Germany
537201;ROUND SNACK BOXES SET OF 4 FRUITS;12;05.12.2010 14:19;2,95;12472.0;Germany
537201;CIRCUS PARADE LUNCH BOX;12;05.12.2010 14:19;1,95;12472.0;Germany
537201;RIBBON REEL POLKADOTS;10;05.12.2010 14:19;1,65;12472.0;Germany
537201;RIBBON REEL HEARTS DESIGN;10;05.12.2010 14:19;1,65;12472.0;Germany
537201;RIBBON REEL LACE DESIGN;10;05.12.2010 14:19;2,1;12472.0;Germany
537201;HAND WARMER BIRD DESIGN;12;05.12.2010 14:19;2,1;12472.0;Germany
537201;GUMBALL COAT RACK;12;05.12.2010 14:19;2,55;12472.0;Germany
537201;5 HOOK HANGER MAGIC TOADSTOOL;12;05.12.2010 14:19;1,65;12472.0;Germany
537201;3 HOOK HANGER MAGIC GARDEN;12;05.12.2010 14:19;1,95;12472.0;Germany
537201;HOOK, 1 HANGER ,MAGIC GARDEN;12;05.12.2010 14:19;0,85;12472.0;Germany
537201;SET/5 RED RETROSPOT LID GLASS BOWLS;6;05.12.2010 14:19;2,95;12472.0;Germany
537201;POSTAGE;6;05.12.2010 14:19;18;12472.0;Germany
537201;CHILDS BREAKFAST SET CIRCUS PARADE;4;05.12.2010 14:19;8,5;12472.0;Germany
537212;JUMBO BAG WOODLAND ANIMALS;10;05.12.2010 15:21;1,95;12720.0;Germany
537212;WOODLAND CHARLOTTE BAG;10;05.12.2010 15:21;0,85;12720.0;Germany
537212;PLASTERS IN TIN WOODLAND ANIMALS;12;05.12.2010 15:21;1,65;12720.0;Germany
537212;PACK OF 12 WOODLAND TISSUES;24;05.12.2010 15:21;0,29;12720.0;Germany
537212;JAM MAKING SET WITH JARS;6;05.12.2010 15:21;4,25;12720.0;Germany
537212;JAM MAKING SET PRINTED;12;05.12.2010 15:21;1,45;12720.0;Germany
537212;JAM JAR WITH PINK LID;12;05.12.2010 15:21;0,85;12720.0;Germany
537212;JAM JAR WITH GREEN LID;12;05.12.2010 15:21;0,85;12720.0;Germany
537212;PACK OF 12 PINK PAISLEY TISSUES;24;05.12.2010 15:21;0,29;12720.0;Germany
537212;STARS GIFT TAPE;12;05.12.2010 15:21;0,65;12720.0;Germany
537212;PLASTERS IN TIN VINTAGE PAISLEY;12;05.12.2010 15:21;1,65;12720.0;Germany
537212;SMALL POPCORN HOLDER;24;05.12.2010 15:21;0,85;12720.0;Germany
537212;PARTY PIZZA DISH GREEN POLKADOT;12;05.12.2010 15:21;0,85;12720.0;Germany
537212;PARTY PIZZA DISH PINK POLKADOT;12;05.12.2010 15:21;0,85;12720.0;Germany
537212;PARTY PIZZA DISH BLUE POLKADOT;12;05.12.2010 15:21;0,85;12720.0;Germany
537212;FELTCRAFT 6 FLOWER FRIENDS;6;05.12.2010 15:21;2,1;12720.0;Germany
537212;RED KITCHEN SCALES;2;05.12.2010 15:21;8,5;12720.0;Germany
537212;IVORY KITCHEN SCALES;2;05.12.2010 15:21;8,5;12720.0;Germany
537212;SCOTTIE DOG HOT WATER BOTTLE;3;05.12.2010 15:21;4,95;12720.0;Germany
537212;FAWN BLUE HOT WATER BOTTLE;6;05.12.2010 15:21;2,95;12720.0;Germany
537212;PINK FLOWER FABRIC PONY;4;05.12.2010 15:21;3,75;12720.0;Germany
537212;SET/3 RED GINGHAM ROSE STORAGE BOX;4;05.12.2010 15:21;3,75;12720.0;Germany
537212;PINK POLKADOT BOWL;8;05.12.2010 15:21;1,25;12720.0;Germany
537212;PINK  POLKADOT PLATE;8;05.12.2010 15:21;1,69;12720.0;Germany
537212;RED RETROSPOT SHOPPER BAG;10;05.12.2010 15:21;1,25;12720.0;Germany
537212;JUMBO BAG PINK POLKADOT;10;05.12.2010 15:21;1,95;12720.0;Germany
537212;JUMBO BAG RED RETROSPOT;10;05.12.2010 15:21;1,95;12720.0;Germany
537212;RED RETROSPOT CUP;8;05.12.2010 15:21;0,85;12720.0;Germany
537212;PINK  POLKADOT CUP;8;05.12.2010 15:21;0,85;12720.0;Germany
537212;POSTAGE;4;05.12.2010 15:21;18;12720.0;Germany
537250;ENGLISH ROSE HOT WATER BOTTLE;4;06.12.2010 10:43;4,25;12708.0;Germany
537250;SET 3 RETROSPOT TEA,COFFEE,SUGAR;4;06.12.2010 10:43;4,95;12708.0;Germany
537250;ROUND SNACK BOXES SET OF4 WOODLAND;6;06.12.2010 10:43;2,95;12708.0;Germany
537250;BLUE POLKADOT BOWL;8;06.12.2010 10:43;1,25;12708.0;Germany
537250;BLUE POLKADOT CUP;8;06.12.2010 10:43;0,85;12708.0;Germany
537250;RED RETROSPOT BOWL;8;06.12.2010 10:43;1,25;12708.0;Germany
537250;RED RETROSPOT CUP;8;06.12.2010 10:43;0,85;12708.0;Germany
537250;RED RETROSPOT PLATE;8;06.12.2010 10:43;1,69;12708.0;Germany
537250;BLUE POLKADOT PLATE;8;06.12.2010 10:43;1,69;12708.0;Germany
537250;GUMBALL COAT RACK;6;06.12.2010 10:43;2,55;12708.0;Germany
537250;RIBBON REEL STRIPES DESIGN;10;06.12.2010 10:43;1,65;12708.0;Germany
537250;ROUND SNACK BOXES SET OF 4 FRUITS;6;06.12.2010 10:43;2,95;12708.0;Germany
537250;CHICK GREY HOT WATER BOTTLE;4;06.12.2010 10:43;3,45;12708.0;Germany
537250;POSTAGE;1;06.12.2010 10:43;18;12708.0;Germany
537594;SET OF 16 VINTAGE PISTACHIO CUTLERY;4;07.12.2010 12:28;12,75;12647.0;Germany
537594;SET OF 16 VINTAGE ROSE CUTLERY;2;07.12.2010 12:28;12,75;12647.0;Germany
537594;BREAD BIN DINER STYLE RED;4;07.12.2010 12:28;14,95;12647.0;Germany
537594;BREAD BIN DINER STYLE IVORY;4;07.12.2010 12:28;14,95;12647.0;Germany
537594;TEA TIME OVEN GLOVE;20;07.12.2010 12:28;1,25;12647.0;Germany
537594;3 HOOK HANGER MAGIC GARDEN;12;07.12.2010 12:28;1,95;12647.0;Germany
537594;FRYING PAN RED RETROSPOT;24;07.12.2010 12:28;3,75;12647.0;Germany
537594;FRYING PAN PINK POLKADOT;4;07.12.2010 12:28;4,25;12647.0;Germany
537594;SET/2 RED RETROSPOT TEA TOWELS;12;07.12.2010 12:28;2,95;12647.0;Germany
537594;MILK PAN RED RETROSPOT;4;07.12.2010 12:28;3,75;12647.0;Germany
537594;MILK PAN PINK POLKADOT;4;07.12.2010 12:28;3,75;12647.0;Germany
